dataset,selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equalized_odds_difference,mean_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,k,lambda_values,selector_runtime_seconds,n_selected_features,selected_features
COMPAS,SubsetFACMIM_k5_lambda0.0,logistic_regression,0.6633333333333333,0.6626351306731681,0.6446164672765659,0.7142520583054163,0.2146034229251491,0.6205131551046373,0.23769085151177405,0.23769085151177405,0.03848845002234687,0.3884508583100029,0.6488586867287396,5,0.0|0.5|1.0|2.0,14.910621166229248,5,c_charge_desc|priors_count|age|c_charge_degree|age_cat
COMPAS,SubsetFACMIM_k5_lambda0.0,random_forest,0.6473333333333333,0.6450621195057569,0.6180505415162455,0.6986887171130717,0.1908934768130674,0.6411202635914333,0.17161155635758896,0.17161155635758896,0.03848845002234687,0.3884508583100029,0.6488586867287396,5,0.0|0.5|1.0|2.0,14.910621166229248,5,c_charge_desc|priors_count|age|c_charge_degree|age_cat
COMPAS,SubsetFACMIM_k5_lambda0.0,gradient_boosting,0.68,0.6752990856537049,0.6374622356495468,0.7360630458101237,0.20283515757742354,0.5911246146351259,0.2330201864727633,0.2330201864727633,0.03848845002234687,0.3884508583100029,0.6488586867287396,5,0.0|0.5|1.0|2.0,14.910621166229248,5,c_charge_desc|priors_count|age|c_charge_degree|age_cat
COMPAS,ProxyRank_k5_lambda0.5,logistic_regression,0.6633333333333333,0.6626351306731681,0.6446164672765659,0.7142520583054163,0.2146034229251491,0.6205131551046373,0.23769085151177405,0.23769085151177405,0.03848845002234687,0.388450858310003,0.6488586867287396,5,0.0|0.5|1.0|2.0,0.29906153678894043,5,priors_count|c_charge_desc|age|age_cat|c_charge_degree
COMPAS,ProxyRank_k5_lambda0.5,random_forest,0.64,0.6378257012873667,0.6109510086455331,0.6953333178651807,0.18871840472575463,0.6459547575208007,0.1752383985280328,0.1752383985280328,0.03848845002234687,0.388450858310003,0.6488586867287396,5,0.0|0.5|1.0|2.0,0.29906153678894043,5,priors_count|c_charge_desc|age|age_cat|c_charge_degree
COMPAS,ProxyRank_k5_lambda0.5,gradient_boosting,0.6806666666666666,0.6759264382258505,0.6379440665154951,0.7361451460044869,0.20448260403541363,0.587803689833805,0.2330201864727633,0.2330201864727633,0.03848845002234687,0.388450858310003,0.6488586867287396,5,0.0|0.5|1.0|2.0,0.29906153678894043,5,priors_count|c_charge_desc|age|age_cat|c_charge_degree
COMPAS,FairmRMR_k5_lambda0.5,logistic_regression,0.638,0.6278906853759921,0.5471226021684737,0.6825533517404349,0.18738458189358567,0.5390236043223912,0.23740778090334902,0.23740778090334902,0.007741074845776891,0.09593303513082833,0.5913825451848627,5,0.0|0.5|1.0|2.0,0.8665521144866943,5,priors_count|juv_fel_count|juv_misd_count|c_charge_degree|juv_other_count
COMPAS,FairmRMR_k5_lambda0.5,random_forest,0.63,0.6284992976863808,0.604982206405694,0.6615276704426807,0.14687547850663502,0.7215290821519638,0.15878491941333617,0.15878491941333617,0.007741074845776891,0.09593303513082833,0.5913825451848627,5,0.0|0.5|1.0|2.0,0.8665521144866943,5,priors_count|juv_fel_count|juv_misd_count|c_charge_degree|juv_other_count
COMPAS,FairmRMR_k5_lambda0.5,gradient_boosting,0.636,0.6285251770954736,0.5673534072900158,0.6798511844737825,0.1887516119331945,0.5796628691861778,0.22886258691152278,0.22886258691152278,0.007741074845776891,0.09593303513082833,0.5913825451848627,5,0.0|0.5|1.0|2.0,0.8665521144866943,5,priors_count|juv_fel_count|juv_misd_count|c_charge_degree|juv_other_count
COMPAS,FairCFS_k5_lambda0.5,logistic_regression,0.6513333333333333,0.6490778898822219,0.6223826714801444,0.7080053043864706,0.19366074409972495,0.6366826796616505,0.21553173044601315,0.21553173044601315,0.0347603430006853,0.5164021200862973,0.64602684987206,5,0.0|0.5|1.0|2.0,3.2117040157318115,5,priors_count|c_charge_desc|age|juv_fel_count|juv_misd_count
