dataset,model,selector,selector_family,selector_lambda,method_label,accuracy_mean,accuracy_std,accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,f1_mean,f1_std,f1_count,auroc_mean,auroc_std,auroc_count,dpd_mean,dpd_std,dpd_count,dpr_mean,dpr_std,dpr_count,equal_opportunity_difference_mean,equal_opportunity_difference_std,equal_opportunity_difference_count,equalized_odds_difference_mean,equalized_odds_difference_std,equalized_odds_difference_count,joint_subset_mi_sensitive_mean,joint_subset_mi_sensitive_std,joint_subset_mi_sensitive_count,sensitive_attacker_balanced_accuracy_mean,sensitive_attacker_balanced_accuracy_std,sensitive_attacker_balanced_accuracy_count
Adult,random_forest,FairLasso_k8_lambda0.5,FairLasso-style,0.5,"FairLasso-style, lambda=0.5",0.7668,0.005362420680584085,5,0.7952790172408759,0.00894187117076672,5,0.6415676300526872,0.01165669465315837,5,0.8812465312099926,0.00576837849322571,5,0.3911177389779204,0.02934652172616414,5,0.26318297271487573,0.044483715485334946,5,0.2065751421878094,0.05477348336967009,5,0.30729574074338734,0.02827633901562521,5,0.5573351582575791,0.021123727437034077,5,0.8105032326974705,0.04060478502365481,5
Adult,random_forest,FairLasso_k8_lambda1.0,FairLasso-style,1.0,"FairLasso-style, lambda=1",0.7732,0.012287301484775968,5,0.7984248475536825,0.009538519669784584,5,0.6472460108035983,0.011866221359682658,5,0.8834411183735913,0.004543648651103854,5,0.3725974708724417,0.023133152755857336,5,0.2785011719651645,0.029918250054072074,5,0.19647472344943515,0.06710713786390066,5,0.2845738493323763,0.01730146018149888,5,0.5474785209315205,0.008975293886573157,5,0.7780551249448537,0.017367666488014646,5
Adult,random_forest,FairLasso_k8_lambda2.0,FairLasso-style,2.0,"FairLasso-style, lambda=2",0.7710666666666667,0.011600766258216624,5,0.7991867457250585,0.008944702101783279,5,0.6468541400007916,0.01169640197727499,5,0.8843793533540838,0.004097118924892822,5,0.3718412777702008,0.024040513645068887,5,0.28728097580053463,0.030952784350136674,5,0.1816506611649638,0.049111344683675194,5,0.2863174334181934,0.017679424469067118,5,0.5558949683718817,0.012282476555608398,5,0.7674403325711037,0.02950738532981297,5
Adult,random_forest,FairmRMR_k8_lambda0.0,fair-mRMR,0.0,"fair-mRMR, lambda=0",0.796,0.010055402085998907,5,0.8188388910315492,0.007863559257027558,5,0.6750425032524143,0.011577790312026623,5,0.9030098538049819,0.007197608089442475,5,0.3804536219886888,0.042258182469733944,5,0.24636097812692542,0.05372680581748942,5,0.223666182708466,0.049507040295727826,5,0.2865576929588765,0.03441157506362234,5,0.5629270813129003,0.037915209018427695,5,0.830582597137399,0.036525695427498575,5
Adult,random_forest,FairmRMR_k8_lambda0.5,fair-mRMR,0.5,"fair-mRMR, lambda=0.5",0.7668,0.009959919678390973,5,0.8063351585293663,0.011361315859928339,5,0.6503490115019416,0.013894101031593277,5,0.8975506075004803,0.0067033203177560155,5,0.4163112217870502,0.01373051979824487,5,0.24922875505182432,0.03450299931915094,5,0.2139562120244051,0.06101408479658177,5,0.3320607896936577,0.008842516105086158,5,0.46062673822751476,0.044546943805851384,5,0.7318657095362774,0.012038694973220888,5
Adult,random_forest,FairmRMR_k8_lambda1.0,fair-mRMR,1.0,"fair-mRMR, lambda=1",0.7693333333333333,0.015362291495737252,5,0.7510992412609047,0.01819827387394569,5,0.6032796253344922,0.026353474601288035,5,0.8452450157419138,0.010671900964909248,5,0.1461300471983224,0.04264794538498623,5,0.6234272238203006,0.08347089999553904,5,0.06631715910551064,0.04998411958844023,5,0.0737011491794752,0.04339649523327608,5,0.36681651568561224,0.03890922727078216,5,0.6016607572103474,0.038624846984797824,5
Adult,random_forest,FairmRMR_k8_lambda2.0,fair-mRMR,2.0,"fair-mRMR, lambda=2",0.7702666666666667,0.016489727441989798,5,0.7568448529319449,0.015584949329192186,5,0.6093776624005326,0.023667089852633234,5,0.8459608975731671,0.010688299135781992,5,0.14493442543488377,0.03803662488986408,5,0.6323482866352449,0.06722118028527177,5,0.06982810605390162,0.044528634711328764,5,0.07230032251194207,0.04305112493140252,5,0.37936004086314956,0.023628103905433438,5,0.5945989889471053,0.03770054011381914,5
Adult,random_forest,ProxyRank_k8_lambda0.0,ProxyRank,0.0,"ProxyRank, lambda=0",0.7636000000000001,0.014028542333400156,5,0.7950108966395657,0.011546434442343061,5,0.6401371010332314,0.014527240260758472,5,0.8807456487349166,0.002276628551525401,5,0.3997089854381416,0.016296996455306183,5,0.258259636780088,0.024641239515784546,5,0.209772370781248,0.0531888267398021,5,0.3168826940392521,0.01192753419320616,5,0.5803235973474553,0.008199479843372293,5,0.8516509848239739,0.017062349548272362,5
Adult,random_forest,ProxyRank_k8_lambda0.5,ProxyRank,0.5,"ProxyRank, lambda=0.5",0.7727999999999999,0.0044070650349435705,5,0.8019193290512823,0.004488592357587311,5,0.649687426261647,0.008278604170981209,5,0.8872628174904374,0.007899803227920766,5,0.3722759230326157,0.022912038702861084,5,0.28733801982809315,0.038655481927333375,5,0.17690179945456136,0.04730208758321654,5,0.28687292533639513,0.01494906588396545,5,0.5404266537754161,0.023812885765954587,5,0.7799229639462432,0.017834806275610657,5
Adult,random_forest,ProxyRank_k8_lambda1.0,ProxyRank,1.0,"ProxyRank, lambda=1",0.7782666666666667,0.010073066398404539,5,0.7556165107228343,0.04183015533102603,5,0.6083355227753489,0.03854470189265382,5,0.847092176289269,0.030668837887107524,5,0.17056049682842303,0.15104313217708415,5,0.59557544861563,0.22394743218443852,5,0.0513262904760192,0.08297152231091866,5,0.0888567171380312,0.13811158971852008,5,0.30986068740815614,0.047314035849120556,5,0.5931988303980571,0.08747645128929245,5
