selector,model,k,lambda,selected_feature_count,selected_features,diagnostics_path,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,selection_rate_min,selection_rate_max,equalized_odds_difference,equalized_odds_ratio,tpr_min,tpr_max,fpr_min,fpr_max,equal_opportunity_difference,equal_opportunity_ratio,mean_selected_mi_sensitive,max_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,sensitive_attacker_auroc,sensitive_attacker_status,dataset,seed,selector_family,selector_lambda,method_label,lambda_values,selector_runtime_seconds,n_selected_features
FairmRMR_k8_lambda0.0,random_forest,8,0.0,8.0,relationship|education-num|capital-gain|hours-per-week|age|capital-loss|occupation|fnlwgt,results/seed_robustness/raw/adult/seed_42/diagnostics/FairmRMR_k8_lambda0.0_diagnostics.csv,0.792,0.8197966854885974,0.680327868852459,0.9113917793903389,0.39385256258712475,0.2491724555923353,0.13070539419087138,0.5245579567779961,0.30568915155220433,0.12891018195896245,0.7096774193548387,0.9085173501577287,0.04523809523809524,0.3509272467902996,0.19883993080288997,0.7811379928315413,0.05488192857626792,0.2717193255261839,0.5867927222905123,0.8660260033917467,0.9345166760881854,ok,Adult,42,fair-mRMR,0.0,"fair-mRMR, lambda=0",,,
FairmRMR_k8_lambda0.0,gradient_boosting,8,0.0,8.0,relationship|education-num|capital-gain|hours-per-week|age|capital-loss|occupation|fnlwgt,results/seed_robustness/raw/adult/seed_42/diagnostics/FairmRMR_k8_lambda0.0_diagnostics.csv,0.8613333333333333,0.7841001367512516,0.695906432748538,0.9252363725377125,0.17732678997953844,0.31879746339935805,0.08298755186721991,0.26031434184675833,0.08415528836356226,0.07823660714285714,0.5967741935483871,0.6340694006309149,0.007142857142857143,0.0912981455064194,0.03729520708252776,0.941181190820093,0.05488192857626792,0.2717193255261839,0.5867927222905123,0.8660260033917467,0.9345166760881854,ok,Adult,42,fair-mRMR,0.0,"fair-mRMR, lambda=0",,,
FairCFS_k8_lambda0.0,logistic_regression,8,0.0,8.0,relationship|occupation|marital-status|education|age|hours-per-week|workclass|capital-gain,results/seed_robustness/raw/adult/seed_42/diagnostics/FairCFS_k8_lambda0.0_diagnostics.csv,0.7953333333333333,0.8141677591859888,0.6778593913955928,0.9074304651660904,0.3162331151309622,0.34700748234620793,0.16804979253112035,0.48428290766208254,0.2362203654643027,0.2438791041530768,0.7903225806451613,0.8643533123028391,0.0761904761904762,0.3124108416547789,0.07403073165767782,0.9143513068048034,0.06998222019728191,0.2717193255261839,0.5869269590475168,0.860768795929904,0.9360768795929905,ok,Adult,42,FairCFS-style,0.0,"FairCFS-style, lambda=0",,,
FairCFS_k8_lambda0.0,random_forest,8,0.0,8.0,relationship|occupation|marital-status|education|age|hours-per-week|workclass|capital-gain,results/seed_robustness/raw/adult/seed_42/diagnostics/FairCFS_k8_lambda0.0_diagnostics.csv,0.7646666666666667,0.8084952890253001,0.6582768635043562,0.9037645430601682,0.42233164043075266,0.2612824571159687,0.14937759336099585,0.5717092337917485,0.3527443787786156,0.1443812819245345,0.7580645161290323,0.9242902208201893,0.05952380952380952,0.4122681883024251,0.16622570469115705,0.8201585379279973,0.06998222019728191,0.2717193255261839,0.5869269590475168,0.860768795929904,0.9360768795929905,ok,Adult,42,FairCFS-style,0.0,"FairCFS-style, lambda=0",,,
FairCFS_k8_lambda0.0,gradient_boosting,8,0.0,8.0,relationship|occupation|marital-status|education|age|hours-per-week|workclass|capital-gain,results/seed_robustness/raw/adult/seed_42/diagnostics/FairCFS_k8_lambda0.0_diagnostics.csv,0.858,0.7766305997989922,0.6853766617429837,0.9212515210928802,0.17962158328510053,0.2994070046581136,0.07676348547717843,0.25638506876227896,0.09550218784980158,0.1076804915514593,0.532258064516129,0.6277602523659306,0.009523809523809525,0.0884450784593438,0.09550218784980158,0.8478683741287081,0.06998222019728191,0.2717193255261839,0.5869269590475168,0.860768795929904,0.9360768795929905,ok,Adult,42,FairCFS-style,0.0,"FairCFS-style, lambda=0",,,
FairLasso_k8_lambda0.0,logistic_regression,8,0.0,8.0,native-country|occupation|marital-status|education|age|hours-per-week|relationship|education-num,results/seed_robustness/raw/adult/seed_42/diagnostics/FairLasso_k8_lambda0.0_diagnostics.csv,0.784,0.8126978597605323,0.6707317073170732,0.8891090926636838,0.33139994619667557,0.3499708184427442,0.17842323651452283,0.5098231827111984,0.25903471231573943,0.24340277777777777,0.8225806451612904,0.8801261829652997,0.08333333333333333,0.34236804564907275,0.057545537804009284,0.9346167186958031,0.07115201020445644,0.2717193255261839,0.5830304536570066,0.8625777275296778,0.9389937817976258,ok,Adult,42,FairLasso-style,0.0,"FairLasso-style, lambda=0",,,
FairLasso_k8_lambda0.0,random_forest,8,0.0,8.0,native-country|occupation|marital-status|education|age|hours-per-week|relationship|education-num,results/seed_robustness/raw/adult/seed_42/diagnostics/FairLasso_k8_lambda0.0_diagnostics.csv,0.7646666666666667,0.8006362110723793,0.6522167487684729,0.8827563968281242,0.3924218832793942,0.28663307646710134,0.15767634854771784,0.550098231827112,0.32086814754432447,0.18207792207792206,0.7419354838709677,0.8990536277602523,0.07142857142857142,0.39229671897289586,0.15711814388928458,0.8252405206564799,0.07115201020445644,0.2717193255261839,0.5830304536570066,0.8625777275296778,0.9389937817976258,ok,Adult,42,FairLasso-style,0.0,"FairLasso-style, lambda=0",,,
FairLasso_k8_lambda0.0,gradient_boosting,8,0.0,8.0,native-country|occupation|marital-status|education|age|hours-per-week|relationship|education-num,results/seed_robustness/raw/adult/seed_42/diagnostics/FairLasso_k8_lambda0.0_diagnostics.csv,0.8346666666666667,0.7549069220612015,0.6446991404011462,0.8933610915621418,0.20025026697861725,0.27711073835378597,0.07676348547717843,0.2770137524557957,0.1312709880940266,0.1342911877394636,0.4838709677419355,0.6151419558359621,0.016666666666666666,0.12410841654778887,0.1312709880940266,0.7866004962779157,0.07115201020445644,0.2717193255261839,0.5830304536570066,0.8625777275296778,0.9389937817976258,ok,Adult,42,FairLasso-style,0.0,"FairLasso-style, lambda=0",,,
BasicFACMIM_k8_lambda0.0,logistic_regression,8,0.0,8.0,relationship|occupation|education|age|hours-per-week|native-country|workclass|marital-status,results/seed_robustness/raw/adult/seed_42/diagnostics/BasicFACMIM_k8_lambda0.0_diagnostics.csv,0.7846666666666666,0.8140171209742526,0.6720812182741117,0.8916793571514314,0.3354392715355957,0.3445735538901411,0.17634854771784234,0.5117878192534381,0.25903471231573943,0.24340277777777777,0.8064516129032258,0.886435331230284,0.08333333333333333,0.34236804564907275,0.0799837183270582,0.9097692572609344,0.07156490028324436,0.2717193255261839,0.5925344270293258,0.8591294516676088,0.9391746749576032,ok,Adult,42,Basic FA-CMIM,0.0,"Basic FA-CMIM, lambda=0",,,
BasicFACMIM_k8_lambda0.0,random_forest,8,0.0,8.0,relationship|occupation|education|age|hours-per-week|native-country|workclass|marital-status,results/seed_robustness/raw/adult/seed_42/diagnostics/BasicFACMIM_k8_lambda0.0_diagnostics.csv,0.7473333333333333,0.7916591151417294,0.6380133715377269,0.8813135652063391,0.4330270891586301,0.2591234003975034,0.15145228215767634,0.5844793713163065,0.3660451056314109,0.15869633099141298,0.7096774193548387,0.9148264984227129,0.06904761904761905,0.43509272467902993,0.20514907906787416,0.7757508342602892,0.07156490028324436,0.2717193255261839,0.5925344270293258,0.8591294516676088,0.9391746749576032,ok,Adult,42,Basic FA-CMIM,0.0,"Basic FA-CMIM, lambda=0",,,
