dataset,selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equalized_odds_difference,mean_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,k,lambda_values,selector_runtime_seconds,n_selected_features,selected_features
ACSIncome,FairLasso_k5_lambda1.0,gradient_boosting,0.8033333333333333,0.792759671436142,0.7531380753138075,0.8808624801271859,0.06764709577490574,0.8386273628326162,0.035790980672870454,0.035790980672870454,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.42339444160461426,5,hours-per-week|education|occupation|age|relationship
ACSIncome,BasicFACMIM_k5_lambda1.0,logistic_regression,0.7673333333333333,0.7747968556792086,0.74090571640683,0.8393071380203734,0.058500891108833775,0.8867147449821878,0.053209257933667375,0.053209257933667375,0.005322605185855955,0.46821586109469226,0.5964362825775211,5,0.0|0.5|1.0|2.0,1.7486186027526855,5,education|age|hours-per-week|relationship|birthplace
ACSIncome,BasicFACMIM_k5_lambda1.0,random_forest,0.766,0.7556416710828475,0.7091963545981773,0.838052206618383,0.044537493875309364,0.8931359840834414,0.07267273409005692,0.07267273409005692,0.005322605185855955,0.46821586109469226,0.5964362825775211,5,0.0|0.5|1.0|2.0,1.7486186027526855,5,education|age|hours-per-week|relationship|birthplace
ACSIncome,BasicFACMIM_k5_lambda1.0,gradient_boosting,0.7866666666666666,0.7766516516516516,0.7342192691029901,0.8676985809338751,0.0489688084986476,0.8825034128443529,0.04288100351092472,0.04288100351092472,0.005322605185855955,0.46821586109469226,0.5964362825775211,5,0.0|0.5|1.0|2.0,1.7486186027526855,5,education|age|hours-per-week|relationship|birthplace
ACSIncome,SubsetFACMIM_k5_lambda1.0,logistic_regression,0.762,0.769022699169758,0.7345724907063197,0.8378967202496613,0.05068641404523927,0.9009146822821095,0.06633261751371988,0.06633261751371988,0.007326352504716571,0.45703168183253984,0.5996525303721838,5,0.0|0.5|1.0|2.0,2.532633066177368,5,education|age|hours-per-week|relationship|class-worker
ACSIncome,SubsetFACMIM_k5_lambda1.0,random_forest,0.7633333333333333,0.749580462815757,0.6994072819644369,0.8391700524053465,0.03986747336096097,0.8996607627643093,0.02859869789003644,0.02859869789003644,0.007326352504716571,0.45703168183253984,0.5996525303721838,5,0.0|0.5|1.0|2.0,2.532633066177368,5,education|age|hours-per-week|relationship|class-worker
ACSIncome,SubsetFACMIM_k5_lambda1.0,gradient_boosting,0.784,0.7733836777954425,0.73,0.8670131528587411,0.044108541183945305,0.8929164324649351,0.06033336741998163,0.06033336741998163,0.007326352504716571,0.45703168183253984,0.5996525303721838,5,0.0|0.5|1.0|2.0,2.532633066177368,5,education|age|hours-per-week|relationship|class-worker
ACSIncome,ProxyRank_k5_lambda2.0,logistic_regression,0.7646666666666667,0.7694974386150857,0.7339864355689525,0.8416247129482424,0.06112127156653879,0.8787884180740688,0.04298326345570447,0.04298326345570447,0.006950799229630841,0.3777582248197863,0.5919690723314746,5,0.0|0.5|1.0|2.0,0.26514506340026855,5,education|relationship|age|hours-per-week|marital-status
ACSIncome,ProxyRank_k5_lambda2.0,random_forest,0.764,0.7536985514926691,0.706953642384106,0.8371211284814225,0.05652124751647164,0.866330497971103,0.029007737669154987,0.029007737669154987,0.006950799229630841,0.3777582248197863,0.5919690723314746,5,0.0|0.5|1.0|2.0,0.26514506340026855,5,education|relationship|age|hours-per-week|marital-status
ACSIncome,ProxyRank_k5_lambda2.0,gradient_boosting,0.7773333333333333,0.7662294647588765,0.7212020033388982,0.8646210548784078,0.04437057922971588,0.8919615777927332,0.06217404642601487,0.06217404642601487,0.006950799229630841,0.3777582248197863,0.5919690723314746,5,0.0|0.5|1.0|2.0,0.26514506340026855,5,education|relationship|age|hours-per-week|marital-status
