selector,model,k,lambda,selected_feature_count,selected_features,diagnostics_path,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,selection_rate_min,selection_rate_max,equalized_odds_difference,equalized_odds_ratio,tpr_min,tpr_max,fpr_min,fpr_max,equal_opportunity_difference,equal_opportunity_ratio,mean_selected_mi_sensitive,max_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,sensitive_attacker_auroc,sensitive_attacker_status,dataset_key,dataset,selector_family,k_value,lambda_value,lambda_values,selector_runtime_seconds,n_selected_features,accuracy_norm,joint_leakage_quality,attacker_leakage_quality,dpd_quality,eod_quality,eodd_quality,tradeoff_accuracy_joint_mi,tradeoff_accuracy_attacker,tradeoff_accuracy_dpd,pareto_accuracy_joint_mi
FairCFS_k8_lambda0.0,logistic_regression,8,,,education|occupation|hours-per-week|relationship|age|marital-status|birthplace|class-worker,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917106,0.5941012723203469,,,acs_income,ACSIncome,FairCFS-style,8.0,0.0,0.0|0.5|1.0|2.0,6.8388831615448,8.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,False
FairLasso_k8_lambda0.0,logistic_regression,8,,,hours-per-week|education|occupation|age|relationship|birthplace|marital-status|class-worker,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,FairLasso-style,8.0,0.0,0.0|0.5|1.0|2.0,0.4454734325408935,8.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,False
BasicFACMIM_k8_lambda0.0,logistic_regression,8,,,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,BasicFA-CMIM,8.0,0.0,0.0|0.5|1.0|2.0,2.9151079654693604,8.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,False
SubsetFACMIM_k8_lambda0.0,logistic_regression,8,,,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,SubsetFA-CMIM,8.0,0.0,0.0|0.5|1.0|2.0,3.644399881362915,8.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,False
ProxyRank_k8_lambda0.5,logistic_regression,8,,,education|relationship|hours-per-week|occupation|age|marital-status|birthplace|class-worker,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,ProxyRank,8.0,0.5,0.0|0.5|1.0|2.0,0.2710590362548828,8.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,False
FairmRMR_k8_lambda0.5,logistic_regression,8,,,education|hours-per-week|relationship|class-worker|age|occupation|birthplace|marital-status,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,fair-mRMR,8.0,0.5,0.0|0.5|1.0|2.0,1.7506000995635986,8.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,False
FairCFS_k8_lambda0.5,logistic_regression,8,,,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,FairCFS-style,8.0,0.5,0.0|0.5|1.0|2.0,5.957437038421631,8.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,False
FairLasso_k8_lambda0.5,logistic_regression,8,,,hours-per-week|education|occupation|age|relationship|birthplace|marital-status|class-worker,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,FairLasso-style,8.0,0.5,0.0|0.5|1.0|2.0,0.4294829368591308,8.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,False
BasicFACMIM_k8_lambda0.5,logistic_regression,8,,,education|hours-per-week|relationship|age|occupation|birthplace|marital-status|class-worker,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,BasicFA-CMIM,8.0,0.5,0.0|0.5|1.0|2.0,2.730010986328125,8.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,False
SubsetFACMIM_k8_lambda0.5,logistic_regression,8,,,education|hours-per-week|relationship|age|class-worker|marital-status|occupation|birthplace,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,SubsetFA-CMIM,8.0,0.5,0.0|0.5|1.0|2.0,3.57844352722168,8.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,False
ProxyRank_k8_lambda1.0,logistic_regression,8,,,education|relationship|age|hours-per-week|occupation|marital-status|birthplace|class-worker,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,ProxyRank,8.0,1.0,0.0|0.5|1.0|2.0,0.2750072479248047,8.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,False
FairmRMR_k8_lambda1.0,logistic_regression,8,,,education|relationship|hours-per-week|class-worker|age|birthplace|occupation|marital-status,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,fair-mRMR,8.0,1.0,0.0|0.5|1.0|2.0,2.115872859954834,8.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,False
FairCFS_k8_lambda1.0,logistic_regression,8,,,education|relationship|hours-per-week|occupation|age|marital-status|birthplace|class-worker,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,FairCFS-style,8.0,1.0,0.0|0.5|1.0|2.0,5.868200778961182,8.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,False
FairLasso_k8_lambda1.0,logistic_regression,8,,,hours-per-week|education|occupation|age|relationship|birthplace|marital-status|class-worker,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,FairLasso-style,8.0,1.0,0.0|0.5|1.0|2.0,0.6946194171905518,8.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,False
BasicFACMIM_k8_lambda1.0,logistic_regression,8,,,education|age|hours-per-week|relationship|birthplace|marital-status|class-worker|occupation,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,BasicFA-CMIM,8.0,1.0,0.0|0.5|1.0|2.0,2.095024824142456,8.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,False
SubsetFACMIM_k8_lambda1.0,logistic_regression,8,,,education|age|hours-per-week|relationship|class-worker|marital-status|birthplace|occupation,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,SubsetFA-CMIM,8.0,1.0,0.0|0.5|1.0|2.0,3.6584901809692383,8.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,False
